No,Source,Target,SourceUrl,TargetUrl,SourceTitle,SourceDesc
793,4785199,4783244,https://vnexpress.net/nga-trien-khai-uav-tia-chop-truy-tim-xe-tang-phao-binh-ukraine-4785199.html,https://vnexpress.net/van-cuoc-chien-luoc-cua-ukraine-khi-tan-cong-tinh-kursk-4783244.html,Ván cược chiến lược của Ukraine khi tấn công tỉnh Kursk ,"Tấn công tỉnh Kursk, Tổng thống Zelensky muốn Nga phải rút lực lượng từ Donbass về bảo vệ lãnh thổ, nhưng có thể mất cả chì lẫn chài nếu Moskva không làm vậy."
794,4785199,4783923,https://vnexpress.net/nga-trien-khai-uav-tia-chop-truy-tim-xe-tang-phao-binh-ukraine-4785199.html,https://vnexpress.net/khoanh-khac-tiem-kich-ukraine-nem-bom-luon-vao-tinh-kursk-4783923.html,Khoảnh khắc tiêm kích Ukraine ném bom lượn vào tỉnh Kursk ,"Ukraine đăng video tấn công căn cứ Nga tại tỉnh Kursk bằng bom lượn, loại vũ khí thường được Moskva sử dụng để tập kích mục tiêu của Kiev."
795,4785199,4781213,https://vnexpress.net/nga-trien-khai-uav-tia-chop-truy-tim-xe-tang-phao-binh-ukraine-4785199.html,https://vnexpress.net/the-kho-cua-nga-khi-ukraine-tan-cong-tinh-kursk-4781213.html,Thế khó của Nga khi Ukraine tấn công tỉnh Kursk ,"Ukraine xâm nhập tỉnh Kursk buộc giới lãnh đạo Nga phải cân nhắc dừng đà tiến công ở vùng Donbass để phòng thủ, hoặc đối mặt nguy cơ mất thêm lãnh thổ."
796,4785199,4529737,https://vnexpress.net/nga-trien-khai-uav-tia-chop-truy-tim-xe-tang-phao-binh-ukraine-4785199.html,https://vnexpress.net/cuc-dien-chien-truong-ukraine-sau-29-thang-giao-tranh-4529737.html,Cục diện chiến trường Ukraine sau 29 tháng giao tranh,Cuộc phản công của Ukraine vào mùa hè 2023 thất bại trong khi Nga gần đây đạt được một số bước tiến.
797,4785210,2950965,https://vnexpress.net/dien-vien-nhung-co-gai-chan-dai-hoi-ngo-sau-20-nam-4785210.html,https://vnexpress.net/duong-yen-ngoc-toi-giu-chong-nhu-con-nit-giu-do-choi-2950965.html,Dương Yến Ngọc: Tôi giữ chồng như con nít giữ đồ chơi ,"Cựu người mẫu cho biết, cô giấu người chồng thứ hai vào một ngăn bí mật chỉ để cô và con tận hưởng niềm hạnh phúc."
798,4784769,4784769,https://vnexpress.net/them-nhieu-truong-dai-hoc-xet-tuyen-bo-sung-4784769.html,https://vnexpress.net/them-loat-truong-xet-tuyen-bo-sung-4784769-p3.html,Đại học Phenikaa tuyển bổ sung năm 2024 ,
799,4784769,4784769,https://vnexpress.net/them-nhieu-truong-dai-hoc-xet-tuyen-bo-sung-4784769.html,https://vnexpress.net/them-loat-truong-xet-tuyen-bo-sung-4784769-p4.html,Chỉ tiêu và điểm sàn xét tuyển bổ sung Đại học Hòa Bình năm 2024 ,
800,4784769,4784769,https://vnexpress.net/them-nhieu-truong-dai-hoc-xet-tuyen-bo-sung-4784769.html,https://vnexpress.net/them-loat-truong-xet-tuyen-bo-sung-4784769-p2.html,Điểm nhận hồ sơ xét tuyển bổ sung Đại học Hoa Sen ,
801,4784769,4784769,https://vnexpress.net/them-nhieu-truong-dai-hoc-xet-tuyen-bo-sung-4784769.html,https://vnexpress.net/them-loat-truong-xet-tuyen-bo-sung-4784769-p5.html,Trường Đại học Nguyễn Tất Thành xét tuyển bổ sung năm 2024 ,
802,4785244,4746945,https://vnexpress.net/nu-hoang-ai-cap-ban-75-000-ban-trong-mot-ngay-4785244.html,https://vnexpress.net/nxb-dung-cong-tac-hoa-si-phat-ngon-phan-cam-ve-nu-hoang-ai-cap-4746945.html,NXB dừng cộng tác họa sĩ phát ngôn phản cảm về Nữ hoàng Ai Cập ,NXB Kim Đồng dừng làm việc với họa sĩ thiết kế Tạ Quốc Kỳ Nam - người phát ngôn gây tranh cãi về truyện Nữ hoàng Ai Cập.
803,4785079,4781424,https://vnexpress.net/mua-nham-dien-thoai-vertu-2g-doi-lot-4g-4785079.html,https://vnexpress.net/thieu-hang-trieu-dien-thoai-cuc-gach-4g-truoc-khi-tat-song-2g-4781424.html,Thiếu hàng triệu điện thoại cục gạch 4G trước khi tắt sóng 2G ,"Cần điện thoại 4G sau khi máy 2G cũ không thể gọi điện, chị Hồng tìm đến 3-4 cửa hàng trong huyện nhưng vẫn chưa thể mua."
